,Open,High,Low,Close,Volume,Time,Date
3701426,3617.3,3617.98,3617.3,3617.77,0.97851463,06:10:00,2019-01-18
3701427,3617.77,3617.81,3617.07,3617.81,0.61401919,06:11:00,2019-01-18
3701428,3618.4,3618.4,3616.03,3617.78,2.57589793,06:12:00,2019-01-18
3701429,3616.93,3617.62,3614.7,3616.8,6.22137735,06:13:00,2019-01-18
3701430,3617.48,3618.2,3616.8,3617.73,1.15808,06:14:00,2019-01-18
3701431,3618.15,3619.32,3614.71,3616.42,7.484917599999999,06:15:00,2019-01-18
3701432,3617.31,3618.19,3617.13,3617.13,1.42766907,06:16:00,2019-01-18
3701433,3618.49,3618.49,3618.49,3618.49,0.16,06:17:00,2019-01-18
3701434,3618.49,3620.48,3618.49,3620.48,1.29690446,06:18:00,2019-01-18
3701435,3619.97,3620.7,3617.18,3619.93,8.60090632,06:19:00,2019-01-18
3701436,3618.82,3622.73,3616.69,3620.53,4.25873431,06:20:00,2019-01-18
3701437,3617.86,3618.73,3617.86,3618.73,2.06145797,06:21:00,2019-01-18
3701438,3618.16,3619.35,3618.16,3619.35,2.99886633,06:22:00,2019-01-18
3701439,3619.01,3619.01,3619.01,3619.01,0.628,06:23:00,2019-01-18
3701440,3619.5,3619.92,3619.5,3619.88,0.6623675,06:24:00,2019-01-18
3701441,3619.88,3619.88,3618.55,3618.55,2.764,06:25:00,2019-01-18
3701442,3619.68,3620.93,3617.19,3620.93,2.09408134,06:26:00,2019-01-18
3701443,3620.76,3622.06,3617.22,3622.06,6.25268175,06:27:00,2019-01-18
3701444,3622.06,3624.0,3622.06,3624.0,2.02691575,06:28:00,2019-01-18
3701445,3624.57,3625.15,3620.19,3622.73,2.64013838,06:29:00,2019-01-18
3701446,3622.15,3624.58,3622.15,3624.58,4.14304638,06:30:00,2019-01-18
3701447,3624.62,3625.25,3624.62,3625.25,0.33749995,06:31:00,2019-01-18
3701448,3623.92,3625.56,3621.1,3622.9,8.20306032,06:32:00,2019-01-18
3701449,3622.32,3626.71,3622.32,3623.03,8.90200013,06:33:00,2019-01-18
3701450,3622.5,3623.29,3622.5,3623.29,3.3136550000000002,06:34:00,2019-01-18
3701451,3624.8,3624.93,3623.17,3623.21,3.78493827,06:35:00,2019-01-18
3701452,3623.29,3625.98,3623.29,3625.98,3.60101303,06:36:00,2019-01-18
3701453,3624.24,3626.27,3624.24,3626.27,0.787578,06:37:00,2019-01-18
3701455,3622.27,3625.73,3620.51,3625.72,9.51007552,06:39:00,2019-01-18
3701456,3624.16,3624.86,3623.29,3623.29,1.53433044,06:40:00,2019-01-18
3701457,3625.36,3626.1,3624.94,3624.94,2.96723648,06:41:00,2019-01-18
3701458,3625.36,3627.04,3625.36,3626.06,1.02179414,06:42:00,2019-01-18
3701461,3625.68,3625.68,3625.68,3625.68,0.15901962,06:45:00,2019-01-18
